# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	63338
#@/user_id	eda97b9c-91d9-424e-a110-67fce4e92b13
bie2 shuo1 	别说	c=1 d=1 t=58479
bing3 	丙	c=1 d=1 t=22153
bing4 	并	c=65 d=0.341524 t=63338
bing4 	病	c=1 d=1.03418e-13 t=63338
bing4 bu2 hui4 	并不会	c=2 d=6.81494e-19 t=63338
bing4 bu2 shi4 	并不是	c=1 d=0.1 t=27757
bing4 bu2 shi4 yu3 fa3 	并不是语法	c=1 d=1 t=27758
bing4 du2 	病毒	c=1 d=1 t=31754
bing4 fa1 	并发	c=3 d=1 t=52077
bing4 jin4 xing2 	并进行	c=1 d=1 t=12735
bing4 mei2 you3 	并没有	c=2 d=1 t=42290
bing4 qie3 	并且	c=10 d=1.00001 t=61318
bing4 tai4 	病态	c=1 d=1 t=15534
bing4 tui1 jian4 	并推荐	c=1 d=1 t=51948
bing4 wei4 	并未	c=1 d=1 t=39603
bing4 zai4 	并在	c=1 d=1 t=37203
bo1 	播	c=11 d=1.05904e-13 t=63338
bo1 	波	c=1 d=5.11083e-16 t=63338
bo1 bu4 	播不	c=1 d=0.1 t=56504
bo1 bu4 guo4 lai2 	播不过来	c=1 d=1 t=56505
bo1 bu4 liao3 	播不了	c=2 d=1.67032 t=26586
bo1 cai4 	菠菜	c=1 d=1 t=63216
bo1 fang4 	播放	c=43 d=3.62633 t=58914
bo1 fang4 di4 zhi3 	播放地址	c=1 d=1 t=26411
bo1 fang4 jin4 du4 	播放进度	c=1 d=1 t=56089
bo1 fang4 qi4 	播放器	c=14 d=1.00007 t=55219
bo1 ji2 	波及	c=0 d=0.1 t=19083
bo1 ji2 dao4 	波及到	c=1 d=1 t=19084
bo1 ke4 	播客	c=1 d=1 t=37716
bo1 li2 	玻璃	c=2 d=1.91393 t=13723
bo1 te4 	波特	c=0 d=0.1 t=62771
bo2 hui2 	驳回	c=5 d=7.65367e-15 t=63338
bo2 la1 tu2 	柏拉图	c=1 d=1 t=60525
bo2 wu4 guan3 	博物馆	c=13 d=1 t=44584
bo2 zhu3 	博主	c=2 d=1.00012 t=46178
bo2 zi5 	脖子	c=1 d=0.000543443 t=63338
bo2 zi5 teng2 	脖子疼	c=1 d=0.00546167 t=63338
bu1 	晡	c=2 d=1.90484 t=19016
bu2 dao4 	不到	c=4 d=1.17108e-05 t=63338
bu2 dui4 	不对	c=12 d=1.00002 t=60659
bu2 hui4 	不会	c=55 d=0.00976286 t=63338
bu2 hui4 you3 	不会有	c=1 d=1 t=30448
bu2 ji4 de2 	不记得	c=1 d=1 t=20495
bu2 shi4 	不是	c=168 d=0.572082 t=63338
bu2 shi4 shuo1 	不是说	c=1 d=1 t=31248
bu2 shi4 wo3 	不是我	c=1 d=1 t=41284
bu2 yao4 	不要	c=20 d=0.336216 t=63338
bu2 zhong4 yao4 	不重要	c=1 d=1 t=39726
bu3 	补	c=6 d=0.00334984 t=63338
bu3 chang2 	补偿	c=3 d=3.20596e-21 t=63338
bu3 chong1 	补充	c=7 d=0.0478679 t=63338
bu3 fa1 	补发	c=8 d=1 t=50775
bu3 huo4 	捕获	c=3 d=0.372791 t=63338
bu3 jiu4 xing4 	补救性	c=2 d=1 t=55949
bu3 qi2 	补齐	c=1 d=1 t=62931
bu3 quan2 	补全	c=6 d=3.48663e-11 t=63338
bu3 shang4 	补上	c=2 d=1 t=54006
bu3 tie1 	补贴	c=1 d=0.114122 t=36471
bu3 tie1 lv4 	补贴率	c=1 d=1 t=36472
bu3 yi1 xia4 	补一下	c=1 d=1 t=30789
bu4 	不	c=214 d=0.986552 t=63338
bu4 an1 quan2 	不安全	c=0 d=0.1 t=35174
bu4 an1 zhuang1 	不安装	c=1 d=1 t=18695
bu4 bang1 ni3 	不帮你	c=3 d=3.99375e-18 t=63338
bu4 bang1 ta1 	不帮他	c=1 d=1 t=40399
bu4 bao1 han2 	不包含	c=2 d=1 t=62075
