# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	64601
#@/user_id	2936c340-6f85-42ad-8ce9-4366b014c95e
ben di 	本地	c=84 d=0.494109 t=64601
ben di bao 	本地宝	c=1 d=1.03352e-123 t=64601
ben fang 	奔放	c=2 d=1.87194e-82 t=64601
ben fang an 	本方案	c=1 d=1.86261e-82 t=64601
ben fang jian 	本房间	c=1 d=1.69381e-82 t=64601
ben hui 	本会	c=0 d=4.19553e-107 t=64601
ben hui he 	本会和	c=2 d=8.56155e-106 t=64601
ben lai 	本来	c=4 d=1.55002e-09 t=64601
ben lun 	本轮	c=2 d=0.000122182 t=64601
ben ren 	本人	c=2 d=5.40146e-49 t=64601
ben shen 	本身	c=15 d=0.0665368 t=64601
ben si le 	笨死了	c=5 d=5.72242e-81 t=64601
ben tiao 	本条	c=4 d=1.47677e-75 t=64601
ben wen 	本文	c=0 d=1.06833e-102 t=64601
ben wen jian 	本文件	c=1 d=1.07368e-101 t=64601
ben xiang mu 	本项目	c=2 d=5.2621e-98 t=64601
beng 	崩	c=5 d=3.01937e-91 t=64601
beng kui 	崩溃	c=11 d=9.77636e-29 t=64601
beng kui le 	崩溃了	c=1 d=4.08707e-92 t=64601
beng le 	崩了	c=8 d=5.48301e-10 t=64601
bi 	比	c=14 d=3.33974e-09 t=64601
bi 	逼	c=2 d=3.5466e-41 t=64601
bi ai 	必爱	c=0 d=2.65551e-79 t=64601
bi an ling 	狴犴令	c=1 d=1.40649e-101 t=64601
bi er 	比尔	c=0 d=5.66934e-90 t=64601
bi gong bi jing 	毕恭毕敬	c=1 d=4.03871e-99 t=64601
bi jian 	比肩	c=1 d=6.4606e-126 t=64601
bi jiao 	比较	c=18 d=2.83372e-16 t=64601
bi jiao duo 	比较多	c=2 d=0.000352662 t=64601
bi jiao shao 	比较少	c=1 d=0.000907334 t=64601
bi jiao xiao 	比较小	c=1 d=6.67388e-67 t=64601
bi jing 	毕竟	c=4 d=2.6593e-36 t=64601
bi li 	比例	c=6 d=1.3569e-71 t=64601
bi mai 	闭麦	c=4 d=2.27313e-43 t=64601
bi mian 	避免	c=2 d=5.49092e-07 t=64601
bi na 	比那	c=0 d=8.91735e-95 t=64601
bi na yi 	比那以	c=1 d=8.96205e-94 t=64601
bi qiang 	鼻腔	c=1 d=7.95513e-133 t=64601
bi qu jian 	闭区间	c=1 d=2.28973e-11 t=64601
bi ran 	必然	c=1 d=1.29769e-95 t=64601
bi ren 	逼人	c=2 d=1.7365e-22 t=64601
bi ru 	比如	c=18 d=0.681828 t=64601
bi sai 	比赛	c=1 d=2.22767e-70 t=64601
bi shu 	避暑	c=1 d=3.29113e-132 t=64601
bi tian 	必填	c=1 d=0.000291637 t=64601
bi wo 	比我	c=3 d=2.8199e-20 t=64601
bi xian 	必先	c=2 d=9.57029e-109 t=64601
bi xu 	必须	c=10 d=1.08082e-32 t=64601
bi xu shi 	必须是	c=1 d=2.53332e-112 t=64601
bi xu yao 	必须要	c=3 d=1.2094e-89 t=64601
bi xue 	鼻血	c=4 d=0.729789 t=64601
bi yao 	必要	c=6 d=1.05199e-09 t=64601
bi yao me 	必要么	c=1 d=1.05726e-08 t=64601
bi ye 	毕业	c=2 d=4.99454e-138 t=64601
bi yi qian 	比以前	c=1 d=1.60158e-41 t=64601
bi yuan 	闭源	c=1 d=2.65893e-05 t=64601
bi zhi 	壁纸	c=5 d=0.0468877 t=64601
bi zi 	鼻子	c=2 d=5.90071e-89 t=64601
bian 	变	c=12 d=3.137e-09 t=64601
bian 	编	c=1 d=4.08082e-74 t=64601
bian 	边	c=3 d=1.83437e-20 t=64601
bian 	遍	c=1 d=9.73826e-130 t=64601
bian an 	变暗	c=0 d=1.21024e-40 t=64601
bian cheng 	变成	c=1 d=1.94238e-46 t=64601
bian cheng 	编程	c=7 d=0.0347373 t=64601
bian cheng le 	变成了	c=1 d=1.77375e-07 t=64601
bian da 	变大	c=1 d=1.10472e-54 t=64601
bian geng 	变更	c=11 d=0.000206287 t=64601
bian hua 	变化	c=9 d=1.45508 t=64601
bian huan 	变换	c=1 d=0.308819 t=64601
bian ji 	编辑	c=42 d=0.0692522 t=64601
bian ji qi 	编辑器	c=13 d=0.00102302 t=64601
bian kuang 	边框	c=3 d=1.1126e-20 t=64601
bian le 	变了	c=12 d=0.661645 t=64601
bian li 	便利	c=1 d=1.37465e-67 t=64601
bian li 	遍历	c=1 d=1.38154e-67 t=64601
bian liang 	变量	c=27 d=0.994634 t=64601
bian liang wai 	变量外	c=1 d=1.97617e-43 t=64601
bian man le 	变慢了	c=1 d=6.99817e-37 t=64601
bian pai 	编排	c=1 d=5.95027e-11 t=64601
bian pai zai 	编排在	c=1 d=6.1931e-11 t=64601
bian wei 	变为	c=1 d=1.55494e-105 t=64601
bian wei le 	变为了	c=1 d=4.52615e-116 t=64601
bian xiao 	变小	c=1 d=3.28407e-48 t=64601
bian xie 	编写	c=1 d=4.20268e-126 t=64601
bian xue 	边学	c=1 d=1.82522e-20 t=64601
bian yi 	编译	c=12 d=7.48253e-49 t=64601
bian zhi 	贬值	c=1 d=6.93022e-128 t=64601
biao 	标	c=2 d=1.54647e-28 t=64601
biao 	表	c=8 d=0.0168231 t=64601
biao da 	表达	c=1 d=3.45035e-129 t=64601
biao da shi 	表达式	c=3 d=0.0735345 t=64601
biao dan 	表单	c=11 d=4.18083e-06 t=64601
biao dan xiang 	表单想	c=1 d=4.78496e-35 t=64601
biao dian 	标点	c=1 d=1.09006e-132 t=64601
biao ge 	表格	c=5 d=1.05656e-19 t=64601
biao ji 	标记	c=6 d=2.55416e-32 t=64601
biao ji wei 	标记为	c=1 d=0.537944 t=64601
biao jie 	表姐	c=1 d=1.57393e-42 t=64601
biao jie gou 	表结构	c=1 d=7.2655e-125 t=64601
biao ming 	表明	c=1 d=6.95712e-56 t=64601
biao pan 	表盘	c=1 d=9.25859e-124 t=64601
biao qian 	标签	c=53 d=9.38663e-35 t=64601
biao qian ye 	标签页	c=1 d=5.9962e-72 t=64601
biao qing 	表情	c=53 d=0.00463092 t=64601
biao shi 	标示	c=2 d=1.24041e-64 t=64601
biao shi 	表示	c=20 d=0.00130051 t=64601
biao tai 	表态	c=7 d=4.62054e-06 t=64601
biao ti 	标题	c=6 d=1.80533e-20 t=64601
biao xian 	表现	c=3 d=8.18147e-22 t=64601
biao zhi 	标致	c=1 d=6.63043e-49 t=64601
biao zhu 	标注	c=2 d=6.9765e-103 t=64601
biao zhun 	标准	c=1 d=2.72801e-42 t=64601
bie 	别	c=8 d=1.00796e-05 t=64601
bie de 	别的	c=2 d=5.63402e-121 t=64601
bie jia 	别家	c=1 d=2.87463e-99 t=64601
bie jing 	别经	c=1 d=5.34555e-103 t=64601
bie juan 	别卷	c=1 d=1.69646e-71 t=64601
bie kan 	别看	c=2 d=1.22636e-128 t=64601
bie ming 	别名	c=4 d=1.36354e-19 t=64601
bie re wo 	别惹我	c=3 d=9.35547e-126 t=64601
bie ren 	别人	c=15 d=1.07894e-16 t=64601
bing 	兵	c=1 d=3.30616e-68 t=64601
bing 	并	c=56 d=1.00155 t=64601
bing 	病	c=15 d=3.9741e-27 t=64601
bing bu 	并不	c=1 d=9.31858e-53 t=64601
bing bu shi 	并不是	c=1 d=8.16981e-64 t=64601
bing cheng 	冰城	c=1 d=5.29558e-22 t=64601
bing fa 	并发	c=1 d=3.22957e-57 t=64601
bing mei you 	并没有	c=1 d=8.63174e-64 t=64601
bing qie 	并且	c=6 d=0.000126202 t=64601
bing xiang 	冰箱	c=0 d=3.41428e-124 t=64601
bing xiang le 	冰箱了	c=1 d=3.43139e-123 t=64601
bing zheng 	病症	c=1 d=2.39839e-27 t=64601
bing zi 	丙子	c=1 d=1.40567e-06 t=64601
bo fang 	播放	c=30 d=1.62611e-14 t=64601
bo fang qi 	播放器	c=3 d=3.87751e-94 t=64601
bo xia qu 	播下去	c=1 d=9.68341e-93 t=64601
bo yin 	播音	c=1 d=4.35354e-41 t=64601
bo yin zhu chi 	播音主持	c=1 d=4.10001e-41 t=64601
bo zi 	脖子	c=1 d=3.81465e-104 t=64601
bu 	不	c=226 d=0.806216 t=64601
bu ai 	不爱	c=1 d=4.4353e-54 t=64601
bu an 	不按	c=1 d=6.49672e-74 t=64601
bu an quan 	不安全	c=1 d=1.50805e-39 t=64601
bu ba wo 	不把我	c=1 d=1.00677e-138 t=64601
bu bao liu 	不保留	c=1 d=3.69876e-94 t=64601
bu beng le 	不崩了	c=1 d=1.0568e-91 t=64601
bu bian 	不变	c=3 d=1.37661e-25 t=64601
bu biao 	部标	c=1 d=7.42585e-29 t=64601
bu cai yuan 	不裁员	c=1 d=5.74426e-67 t=64601
bu cha qian 	不差钱	c=1 d=2.53073e-100 t=64601
bu che di 	不彻底	c=1 d=2.96237e-41 t=64601
bu cheng gong 	不成功	c=2 d=2.15156e-15 t=64601
bu cheng gong nong 	不成功弄	c=1 d=2.16234e-14 t=64601
bu chi 	不吃	c=5 d=0.364219 t=64601
bu chi dao 	不迟到	c=1 d=8.85721e-132 t=64601
bu chi fan 	不吃饭	c=1 d=5.66549e-81 t=64601
bu chi le 	不吃了	c=1 d=5.00707e-10 t=64601
bu chu lai 	不出来	c=1 d=2.25788e-52 t=64601
bu chuan 	不传	c=5 d=6.36394e-37 t=64601
bu ci er 	不刺耳	c=1 d=4.30963e-10 t=64601
bu cuan zai 	不窜在	c=1 d=1.12999e-26 t=64601
bu cun zai 	不存在	c=20 d=0.0997588 t=64601
bu cuo 	不错	c=6 d=4.53299e-16 t=64601
bu da 	不大	c=6 d=6.42921e-10 t=64601
bu dai 	不带	c=2 d=6.94687e-65 t=64601
bu dai biao 	不代表	c=1 d=1.20061e-92 t=64601
bu dai ji 	不待机	c=1 d=3.66344e-40 t=64601
bu dao 	不到	c=6 d=2.14377e-51 t=64601
bu dao 	补刀	c=11 d=8.34107e-14 t=64601
bu dao le 	不到了	c=2 d=1.06709e-58 t=64601
bu dao ren 	不刀刃	c=1 d=2.39034e-105 t=64601
bu de 	不得	c=1 d=8.55313e-74 t=64601
bu de bu shuo 	不得不说	c=1 d=8.68211e-103 t=64601
bu dei 	不得	c=2 d=1.22441e-117 t=64601
bu deng lu 	不登录	c=1 d=8.13269e-128 t=64601
bu dong 	不动	c=4 d=1.78388e-20 t=64601
bu dong de 	不懂得	c=1 d=6.82704e-128 t=64601
bu dou 	不都	c=1 d=2.21859e-22 t=64601
bu dou shi 	不都是	c=2 d=4.68528e-52 t=64601
bu dui 	不对	c=2 d=1.33957e-57 t=64601
bu dui 	部队	c=6 d=4.5595e-26 t=64601
bu duo 	不多	c=0 d=1.48243e-103 t=64601
bu duo le 	不多了	c=1 d=5.27634e-38 t=64601
bu er neng 	不而能	c=2 d=1.7404e-20 t=64601
bu fa 	不发	c=1 d=6.86076e-39 t=64601
bu fa zhan 	不发展	c=1 d=0.000253537 t=64601
bu fang bian 	不方便	c=2 d=1.41242e-33 t=64601
bu fen 	不分	c=2 d=7.87432e-13 t=64601
bu fen 	部分	c=1 d=7.91379e-13 t=64601
bu fen fang zi 	不分房子	c=1 d=8.65794e-129 t=64601
bu gan 	不敢	c=3 d=6.30599e-47 t=64601
bu gan chi 	不敢吃	c=2 d=5.87585e-10 t=64601
bu gan jing 	不干净	c=0 d=3.30008e-18 t=64601
bu gao 	不搞	c=1 d=1.70166e-107 t=64601
bu gei 	不给	c=2 d=1.45623e-10 t=64601
bu gen zhe 	不跟着	c=1 d=3.48562e-131 t=64601
bu geng xin 	不更新	c=1 d=3.87494e-112 t=64601
bu gou 	不够	c=7 d=8.3178e-24 t=64601
bu gou 	不苟	c=0 d=7.23049e-128 t=64601
bu guai 	不怪	c=1 d=3.05259e-41 t=64601
bu guan 	不管	c=4 d=2.50257e-86 t=64601
bu guan zhu 	不关注	c=1 d=5.55803e-91 t=64601
bu gui 	不贵	c=1 d=6.0246e-10 t=64601
bu guo 	不过	c=5 d=0.26982 t=64601
bu guo lai 	不过来	c=1 d=2.41018e-114 t=64601
bu hao 	不好	c=13 d=0.000358825 t=64601
bu hao chi 	不好吃	c=3 d=2.835e-24 t=64601
bu hao gao 	不好高	c=1 d=1.43455e-10 t=64601
bu hao kong zhi 	不好控制	c=1 d=3.40373e-116 t=64601
bu hao ting 	不好听	c=2 d=8.85255e-87 t=64601
bu hao wan 	不好玩	c=3 d=1.79114e-126 t=64601
bu hao yi si 	不好意思	c=1 d=3.52651e-33 t=64601
bu hao yong 	不好用	c=3 d=1.89319e-09 t=64601
bu hao zhuan 	不好转	c=1 d=3.18203e-59 t=64601
bu he 	不合	c=1 d=3.93054e-15 t=64601
bu he fang 	不何妨	c=1 d=3.63738e-103 t=64601
bu huan 	不换	c=1 d=2.26334e-51 t=64601
bu hui 	不会	c=60 d=0.618548 t=64601
bu huo 	捕获	c=4 d=4.01895e-12 t=64601
bu huo dao 	不或到	c=1 d=3.61836e-12 t=64601
bu ji 	不急	c=1 d=1.58473e-93 t=64601
bu ji xu 	不继续	c=1 d=9.41834e-90 t=64601
bu jia zai 	不加载	c=2 d=3.23057e-90 t=64601
bu jian le 	不见了	c=2 d=1.63105e-79 t=64601
bu jian yi 	不建议	c=1 d=1.06517e-125 t=64601
bu jiao 	补觉	c=2 d=5.71057e-86 t=64601
bu jie 	不接	c=1 d=2.15265e-20 t=64601
bu jiu 	不久	c=2 d=3.3012e-21 t=64601
bu jiu jie 	不纠结	c=1 d=7.15535e-63 t=64601
bu jiu shi 	不就是	c=7 d=0.0150707 t=64601
bu jiu shi yao 	不就是要	c=1 d=3.73745e-40 t=64601
bu jiu xing 	不就行	c=1 d=1.86755e-25 t=64601
bu jiu xing le 	不就行了	c=2 d=0.00037447 t=64601
bu ju 	布局	c=6 d=4.83305e-35 t=64601
bu kai xin 	不开心	c=1 d=1.34816e-44 t=64601
bu kan 	不看	c=5 d=2.01095e-13 t=64601
bu kao lv 	不考虑	c=1 d=5.2194e-28 t=64601
